wind_speed,swr,turb_param/k_min,g2/constant_value,par_id
1.0937,1.1954,3.0019e-07,3.2491,p00066
0.86758,0.93433,1.9059e-09,2.8105,p00067
0.80589,1.1419,1.4568e-08,1.4456,p00068
1.0833,1.1094,1.6121e-06,1.4103,p00069
1.0122,0.86414,2.1571e-07,1.8015,p00070
1.004,1.1493,7.2905e-06,1.9958,p00071
1.1183,0.90596,1.4911e-06,2.8716,p00072
1.0695,1.0662,1.5834e-11,0.85568,p00073
0.89959,1.087,7.6975e-12,1.995,p00074
0.86473,1.0874,6.1983e-05,2.1577,p00075
0.90909,1.1863,2.7177e-08,1.8466,p00076
1.0686,1.1142,2.3532e-10,2.3226,p00077
1.1079,0.84034,1.7396e-13,1.7906,p00078
0.88431,0.89311,2.3285e-06,1.4379,p00079
0.82487,1.0885,1.2394e-08,0.62442,p00080
1.1622,0.84794,5.1636e-15,1.6678,p00081
1.1567,0.95763,7.2333e-12,1.9516,p00082
0.91446,1.1834,2.9025e-10,2.3052,p00083
0.82652,1.0393,1.279e-11,1.4053,p00084
1.0541,1.1944,3.6837e-09,2.0635,p00085
0.83871,0.90153,3.6201e-13,1.3032,p00086
0.9946,1.0037,6.8647e-07,0.97463,p00087
1.0646,0.92307,0.00021809,2.1929,p00088
0.96315,1.1346,1.9782e-05,2.7247,p00089
1.1051,0.96996,6.1167e-07,3.4255,p00090
1.1477,1.1487,5.4537e-08,1.3399,p00091
1.1407,1.1925,2.2089e-05,3.0767,p00092
1.0765,0.87302,7.8791e-10,2.6944,p00093
0.96959,0.95576,8.7642e-07,2.4029,p00094
0.83481,1.1718,5.0125e-05,1.0406,p00095
0.83226,0.93001,0.00026042,2.7477,p00096
0.95244,0.83189,7.7341e-07,0.67402,p00097
0.99928,1.0173,3.0134e-05,2.2786,p00098
1.0839,1.129,1.1589e-11,1.3883,p00099
1.1404,1.1992,3.2532e-14,0.54713,p00100
1.1006,0.90119,0.00018931,2.9869,p00101
1.1922,1.0262,3.2697e-12,2.2772,p00102
1.022,1.0096,1.5148e-07,0.56443,p00103
0.86624,1.1918,1.0361e-09,1.0721,p00104
1.0479,1.0959,0.00018679,2.2445,p00105
0.97816,0.87907,5.6448e-15,3.3789,p00106
0.94507,0.80925,9.3269e-15,3.3082,p00107
1.0343,1.1509,2.4485e-08,0.8319,p00108
1.1685,1.045,9.5798e-08,3.1759,p00109
0.93157,1.0808,6.3306e-09,2.5259,p00110
0.98631,0.95489,0.00024206,1.6075,p00111
1.0756,1.0565,1.6856e-09,0.91441,p00112
0.9502,0.98717,7.1708e-14,1.2896,p00113
1.0807,0.84743,4.2082e-10,1.4954,p00114
1.058,1.1897,2.5711e-11,2.7499,p00115
0.91573,1.1315,4.1157e-12,1.9882,p00116
1.0566,1.1051,4.367e-09,0.89115,p00117
0.90173,1.15,2.6668e-05,0.81146,p00118
1.0526,0.84428,1.8051e-09,2.1398,p00119
0.82839,0.89174,3.5794e-07,1.5609,p00120
0.85296,1.0238,4.1314e-14,0.99759,p00121
1.1903,0.8882,1.7649e-14,0.66954,p00122
1.1345,1.146,2.825e-14,1.5706,p00123
0.87284,1.0849,9.1061e-05,1.4477,p00124
0.96669,0.82477,2.2441e-14,1.0646,p00125
0.80822,1.0829,9.12e-05,2.4318,p00126
1.1944,0.86163,6.8666e-08,1.5225,p00127
0.95063,0.946,2.6976e-08,1.728,p00128
1.0641,0.90515,6.2137e-09,2.1409,p00129
1.1017,1.0776,4.919e-12,1.0304,p00130
1.1553,0.81248,0.00014283,2.0639,p00131
0.88939,0.92264,1.7182e-08,2.3272,p00132
1.1237,0.86076,9.3323e-14,3.1676,p00133
1.1251,1.0215,1.9123e-14,3.2035,p00134
1.0597,1.1958,3.9271e-12,1.6627,p00135
0.89965,1.0262,2.9633e-08,2.5691,p00136
1.0994,0.95235,2.1246e-06,1.993,p00137
0.91969,1.0162,1.889e-07,1.1601,p00138
0.86928,1.1499,7.5767e-06,0.69816,p00139
0.88503,1.1809,7.4732e-14,2.8287,p00140
0.91966,1.0963,1.4859e-10,0.96959,p00141
0.86741,1.0508,6.1059e-05,1.8736,p00142
0.96515,1.182,2.0847e-05,2.0192,p00143
1.1161,1.1946,3.6047e-06,3.266,p00144
1.1219,1.1536,3.1918e-09,1.9295,p00145
1.13,0.87685,2.8521e-13,3.2451,p00146
0.80137,1.139,2.215e-06,0.58591,p00147
1.0055,0.93551,1.9908e-12,1.6502,p00148
0.90593,0.93773,1.5709e-11,0.92127,p00149
1.1331,1.1061,2.6779e-09,2.6854,p00150
1.1321,1.0603,1.1429e-11,2.1182,p00151
1.0809,0.95223,9.5536e-10,1.6253,p00152
0.84788,1.0969,2.5934e-09,2.4886,p00153
0.80147,1.1009,3.8231e-06,1.5356,p00154
1.1078,0.95984,1.7907e-10,1.6053,p00155
1.0891,0.82159,4.3511e-10,0.53723,p00156
1.0547,1.0526,2.8407e-06,1.4709,p00157
0.82039,0.85681,2.2519e-12,2.8537,p00158
0.92849,0.96743,9.5428e-12,2.0879,p00159
0.96186,0.92064,2.1222e-05,2.6669,p00160
0.97453,1.1602,4.4536e-07,1.5796,p00161
0.88886,0.92417,6.4185e-15,3.439,p00162
1.096,0.98885,1.3551e-05,0.77997,p00163
1.0835,1.1421,2.0104e-07,1.4511,p00164
1.0742,0.88587,7.0685e-05,2.0189,p00165
1.1269,1.0613,0.00019593,1.8645,p00166
1.1742,1.154,1.4462e-12,2.0769,p00167
1.104,0.85035,1.9861e-07,2.0299,p00168
0.98327,1.0142,1.0794e-10,1.8123,p00169
1.0604,0.90089,2.1439e-13,1.3272,p00170
0.95372,1.1885,4.1415e-05,2.1946,p00171
1.0233,0.88018,2.2234e-10,0.65692,p00172
0.97461,1.1019,1.4219e-07,3.1411,p00173
0.92403,0.81055,2.3871e-14,2.8052,p00174
0.89348,1.1433,2.3814e-10,3.0714,p00175
0.97515,1.1227,1.4282e-09,3.4921,p00176
1.0527,1.0098,1.2274e-14,1.848,p00177
0.90812,0.81411,5.5893e-14,2.5408,p00178
1.1284,0.8278,1.7535e-08,1.9689,p00179
1.1612,0.96526,2.5976e-10,1.4422,p00180
0.97019,1.0057,5.413e-06,3.4188,p00181
0.80326,1.0375,1.8234e-10,0.69311,p00182
0.81702,0.89852,2.8798e-05,2.4573,p00183
1.1845,0.84392,6.9696e-11,2.9628,p00184
1.0793,1.1249,2.4656e-09,2.0833,p00185
1.198,1.1845,8.0955e-14,2.4718,p00186
1.1933,0.96235,0.00027094,1.2199,p00187
0.85782,0.98095,5.3231e-10,2.5269,p00188
1.1556,1.1913,1.7079e-06,0.84095,p00189
0.80277,1.1096,1.7551e-08,1.3458,p00190
0.92144,0.92602,1.5051e-11,2.187,p00191
1.0398,1.0155,2.8569e-07,1.6876,p00192
0.99627,0.86776,8.939e-08,1.9312,p00193
1.0862,0.95533,1.2383e-14,3.2756,p00194
1.1258,0.93137,6.4922e-08,0.97079,p00195
1.1775,1.1866,2.4473e-14,2.0215,p00196
1.1544,0.82296,0.00011683,2.42,p00197
1.1435,0.82221,0.00015222,2.9306,p00198
1.0494,0.91432,4.3933e-08,2.404,p00199
1.1038,1.1805,1.3597e-09,3.3569,p00200
1.1526,0.98917,3.7029e-14,2.5307,p00201
0.95069,0.84682,1.5023e-06,2.2765,p00202
1.0684,1.1004,9.7163e-13,2.2456,p00203
0.87788,1.1283,1.5856e-06,1.5992,p00204
1.093,1.0329,8.7876e-12,1.0983,p00205
0.94218,0.98557,0.00022991,2.7565,p00206
1.0907,1.1054,0.00031166,1.8926,p00207
1.0656,0.80013,2.5625e-06,2.4299,p00208
1.1422,0.92953,1.5963e-05,2.7264,p00209
1.1847,0.89087,3.0711e-14,1.2597,p00210
1.1126,0.88923,1.3729e-12,1.238,p00211
1.1621,0.89605,1.4001e-14,3.443,p00212
1.0531,1.106,2.7025e-09,2.3219,p00213
1.0889,0.93204,5.883e-08,0.67954,p00214
1.159,1.0159,1.4778e-09,2.4417,p00215
0.95124,1.1589,1.1861e-08,2.7545,p00216
0.81956,1.1727,5.2938e-06,2.9501,p00217
0.93532,0.85603,2.2196e-09,3.1677,p00218
0.87911,1.0749,0.00031609,2.5277,p00219
1.1176,0.81365,5.0538e-11,1.1533,p00220
1.0984,1.1681,3.8257e-06,0.60675,p00221
1.1493,0.85061,6.8587e-11,3.0486,p00222
0.81455,0.93315,2.7289e-06,0.67145,p00223
1.035,1.1676,2.7763e-06,0.53788,p00224
0.861,1.1212,7.2946e-07,0.7681,p00225
1.0185,1.0048,7.3277e-12,0.57556,p00226
1.1684,0.88642,1.2314e-06,1.8551,p00227
1.0097,0.80974,7.9127e-14,2.6984,p00228
0.88142,0.85311,1.3806e-07,1.9103,p00229
1.1263,0.8291,2.0067e-13,0.61261,p00230
0.81046,1.1942,5.5609e-05,2.6879,p00231
1.0893,0.9811,1.745e-11,3.2569,p00232
1.0522,1.1744,1.9537e-06,1.1002,p00233
0.81232,0.93136,2.4939e-06,2.1591,p00234
0.83431,1.0907,1.0982e-14,3.2953,p00235
0.91295,0.9277,8.9298e-09,1.7717,p00236
1.1904,1.1326,1.2582e-10,2.1881,p00237
1.0871,1.1037,1.0798e-11,2.652,p00238
0.97071,0.82818,4.2271e-06,1.5179,p00239
0.93774,0.97933,4.7733e-11,0.92783,p00240
0.80752,1.1292,2.4842e-08,1.5042,p00241
1.1524,0.80415,3.2708e-07,0.66023,p00242
0.98646,0.81636,4.6099e-10,3.4387,p00243
0.92915,1.1712,7.149e-06,2.6169,p00244
1.04,1.0736,5.4552e-09,3.2738,p00245
1.1479,0.99713,9.2465e-12,2.0128,p00246
0.99353,1.0268,6.177e-07,2.5916,p00247
1.1615,1.0051,6.5236e-06,1.3199,p00248
0.83881,1.008,1.0456e-11,1.3389,p00249
1.0394,0.81599,2.1214e-12,2.9233,p00250
1.0308,1.0768,1.3679e-09,2.9328,p00251
0.98073,0.90133,4.2506e-07,1.2379,p00252
0.83914,0.9615,5.6441e-05,2.3204,p00253
0.87062,0.91599,6.3507e-05,2.6977,p00254
0.90015,1.1976,7.2745e-08,1.924,p00255
0.93147,1.0205,9.2086e-12,0.95777,p00256
1.1793,1.0636,4.7174e-07,3.4322,p00257
0.91146,0.93672,9.7789e-06,3.2347,p00258
0.94941,1.0412,8.6667e-09,0.92447,p00259
0.86952,1.177,1.2513e-10,2.2228,p00260
0.88944,1.1559,2.6116e-05,3.1133,p00261
1.0955,0.81048,7.7294e-12,1.5535,p00262
1.0475,0.89675,3.0614e-07,1.1326,p00263
1.1294,0.82257,1.216e-11,1.0014,p00264
1.1726,0.94442,2.8045e-13,0.78739,p00265
1.1917,0.95171,1.3468e-11,1.8558,p00266
1.0693,1.169,1.5271e-11,3.3521,p00267
1.1077,1.0045,9.963e-12,3.057,p00268
0.82049,0.98858,0.00021106,2.3146,p00269
1.1128,1.0119,0.00010476,2.2023,p00270
0.8315,0.84371,1.3588e-14,1.4666,p00271
0.9881,1.1675,3.8884e-05,0.58861,p00272
0.81371,0.88748,1.3252e-11,3.2583,p00273
1.1557,0.97697,2.0016e-14,0.58707,p00274
1.1138,0.91315,6.7136e-05,0.69047,p00275
1.0222,1.0548,7.7891e-08,2.9483,p00276
0.81994,0.94806,5.9708e-14,0.98189,p00277
0.84941,1.03,2.3263e-12,1.8594,p00278
0.97606,1.0314,2.7941e-10,0.62072,p00279
0.83822,1.0556,8.295e-09,2.4864,p00280
1.0641,0.94606,2.073e-13,2.7212,p00281
0.99345,1.0652,1.5467e-08,2.3322,p00282
1.0674,0.87141,9.2704e-15,2.5043,p00283
1.175,0.86719,1.3647e-06,2.6224,p00284
1.0415,0.80857,5.3448e-12,3.3703,p00285
0.91787,0.96367,9.9401e-15,2.7309,p00286
0.83846,1.1347,8.588e-13,3.3184,p00287
0.91839,1.1999,9.6912e-08,2.1381,p00288
0.8593,1.0436,1.3599e-08,1.6873,p00289
1.184,0.98614,1.1169e-09,2.1804,p00290
0.98618,1.0155,8.3573e-10,2.8204,p00291
1.1047,1.0071,2.4961e-09,0.91219,p00292
0.93415,1.0507,3.68e-08,2.4046,p00293
1.1385,0.87119,0.00047142,1.9651,p00294
0.95623,1.0653,6.0919e-14,2.3753,p00295
0.94894,0.8801,6.2264e-07,1.5218,p00296
1.0365,0.87644,1.4998e-14,1.9471,p00297
1.1993,1.0363,3.1605e-14,3.1402,p00298
0.94282,0.93897,5.8794e-06,1.0169,p00299
0.84268,1.0438,1.0101e-14,1.3543,p00300
0.81055,0.95008,0.00029069,2.6262,p00301
0.86372,0.83476,1.7614e-07,1.73,p00302
0.91089,1.0534,2.7974e-12,1.1069,p00303
0.96568,0.83525,6.1702e-07,1.2034,p00304
0.87936,0.86127,1.0864e-06,1.8962,p00305
0.93084,0.82306,7.4999e-15,1.9566,p00306
0.82318,0.88874,1.7333e-12,3.0503,p00307
1.1151,0.94145,3.8648e-09,2.5641,p00308
1.0735,0.99935,8.4898e-07,1.295,p00309
1.0282,0.96812,3.4005e-06,2.5591,p00310
0.90082,1.1785,1.0619e-08,2.8444,p00311
1.0751,1.1843,9.2805e-09,2.2274,p00312
1.0876,1.0122,1.0936e-07,2.6584,p00313
0.97251,1.0211,1.9098e-05,2.353,p00314
0.87625,1.0619,1.0517e-14,0.53,p00315
0.93736,0.85318,1.0294e-08,1.7269,p00316
1.1362,1.0905,7.4215e-05,2.4644,p00317
0.96442,1.1058,4.1074e-12,2.0891,p00318
0.98859,0.84292,8.0977e-08,0.50532,p00319
1.0591,0.99878,1.5182e-11,2.8709,p00320
0.91516,0.94816,2.1437e-09,3.2134,p00321
1.0168,1.0352,9.4152e-11,0.91073,p00322
1.008,1.1966,0.00015846,1.5678,p00323
0.94859,0.8163,3.5884e-06,2.0002,p00324
1.1776,1.0569,3.8419e-12,1.8387,p00325
0.98195,1.0601,3.0629e-13,2.3619,p00326
0.9615,0.83895,3.9662e-14,2.9424,p00327
1.126,1.1712,3.0557e-10,1.4074,p00328
1.0929,1.0387,5.7252e-15,0.92226,p00329
1.0739,1.1141,5.1928e-12,0.9735,p00330
0.83018,1.0364,3.0957e-11,1.8698,p00331
0.96274,1.1984,2.9233e-06,2.2346,p00332
1.1758,0.99394,6.6856e-05,1.7889,p00333
0.94748,0.9479,8.5984e-13,0.65806,p00334
0.82854,0.80105,6.9605e-12,3.1103,p00335
0.96076,1.0411,7.9102e-08,1.0028,p00336
1.0636,0.9905,2.0573e-14,3.247,p00337
1.101,1.0267,2.267e-07,0.70683,p00338
0.87472,0.99229,2.4214e-07,0.57614,p00339
1.1307,0.83829,1.3746e-06,3.3615,p00340
1.0011,1.1022,6.0118e-09,3.4725,p00341
1.0164,0.98622,6.4457e-07,3.0209,p00342
0.81185,1.0094,8.9423e-09,3.1876,p00343
1.1996,0.83818,5.7672e-06,2.0842,p00344
1.0776,1.0512,2.8407e-08,1.4321,p00345
0.91066,1.0134,1.1189e-14,2.9574,p00346
1.0942,1.1192,1.0093e-11,0.62926,p00347
1.1731,1.0242,5.2694e-12,1.2603,p00348
1.1927,0.84697,9.4025e-14,1.8243,p00349
0.83239,1.0483,5.8702e-12,1.0865,p00350
0.99903,1.1065,4.7033e-14,1.0717,p00351
0.97039,1.1314,5.5926e-07,2.2692,p00352
1.1562,1.1841,9.4874e-12,0.88135,p00353
1.0106,1.0746,1.7661e-13,1.7275,p00354
0.80679,0.8852,9.7624e-12,1.134,p00355
1.1008,0.85373,2.6512e-06,0.6685,p00356
0.92521,1.1087,6.6932e-13,2.1109,p00357
1.1943,1.0608,4.23e-07,2.1389,p00358
1.1083,0.94398,0.00025126,1.367,p00359
0.93897,0.80144,8.6522e-15,3.0312,p00360
0.90692,0.94058,1.1351e-08,3.4374,p00361
0.84263,0.85807,6.7331e-06,2.3328,p00362
0.86109,1.156,4.5195e-07,1.6604,p00363
1.1116,1.1255,3.0712e-08,3.1669,p00364
0.95156,1.0166,1.5728e-08,1.6461,p00365
0.94027,1.167,4.242e-05,1.4386,p00366
1.1929,0.80901,2.1834e-11,3.4016,p00367
1.1339,0.82209,1.7638e-12,3.1416,p00368
1.0107,1.072,6.6459e-08,2.7336,p00369
1.0226,1.1237,2.1092e-06,3.4592,p00370
0.80552,1.0215,2.7541e-09,2.6766,p00371
1.1584,1.1143,3.5179e-06,1.1543,p00372
1.0912,1.115,2.2231e-11,1.2318,p00373
0.82824,1.0997,1.1704e-05,0.83979,p00374
1.0366,0.93721,2.0465e-05,2.8326,p00375
1.1591,1.168,3.238e-13,2.6009,p00376
0.89595,1.1597,3.6547e-05,3.0489,p00377
1.0701,0.98878,9.5686e-11,0.72443,p00378
1.0086,0.88739,1.3099e-11,3.3393,p00379
1.1746,0.86375,0.0002631,0.734,p00380
1.1085,0.91306,2.5937e-14,3.4663,p00381
0.94422,1.1923,1.3253e-10,0.74184,p00382
1.112,1.1531,8.4939e-14,0.90017,p00383
0.89632,1.0265,8.5579e-07,1.0744,p00384
1.0519,1.0705,1.2557e-09,2.0722,p00385
0.81059,1.0286,2.7368e-11,2.0895,p00386
1.1241,0.86708,6.8076e-07,2.926,p00387
1.056,1.1022,1.731e-09,1.6564,p00388
1.0501,0.95463,6.5227e-12,2.0986,p00389
0.91023,1.1393,1.6918e-13,1.8377,p00390
1.1355,1.0039,3.1287e-06,1.3148,p00391
0.88504,0.80315,4.3505e-13,2.3468,p00392
0.9511,1.1301,0.00022398,2.041,p00393
0.92706,0.96635,5.7234e-09,3.1222,p00394
0.84546,1.1147,2.6064e-08,2.7473,p00395
0.88794,1.1098,2.3706e-13,1.1373,p00396
1.055,1.0812,7.6382e-09,2.9427,p00397
1.1424,0.80083,3.2094e-09,0.75727,p00398
0.9272,0.88709,4.1001e-10,1.515,p00399
0.92803,1.0763,5.483e-06,1.7382,p00400
1.0314,1.028,2.1392e-14,2.5394,p00401
0.94797,1.0761,1.9577e-08,2.2341,p00402
1.1182,0.99417,0.00041265,1.0126,p00403
1.1262,0.97595,2.223e-09,3.0221,p00404
1.0665,1.0952,6.2954e-13,3.0778,p00405
0.82399,0.91131,1.5748e-12,3.2254,p00406
0.80212,1.1458,1.2374e-11,1.9509,p00407
0.8175,1.1429,7.3657e-15,3.3092,p00408
0.95991,0.96175,8.4432e-15,1.5361,p00409
1.1742,1.1054,5.5636e-11,3.373,p00410
1.1518,1.1028,1.067e-11,1.7651,p00411
1.0979,1.0778,2.8659e-11,2.0358,p00412
1.0076,0.80224,2.9702e-07,2.3756,p00413
1.1534,1.0233,1.0659e-08,1.3419,p00414
1.1652,0.95041,9.7383e-09,3.2193,p00415
1.1311,0.97292,1.0467e-06,1.9172,p00416
1.0852,1.084,6.0419e-12,2.7581,p00417
1.1642,0.9082,5.4462e-10,0.95463,p00418
1.0288,1.0878,1.8755e-10,2.6167,p00419
0.88588,1.103,7.9765e-07,2.4498,p00420
1.0508,0.92299,2.5764e-11,1.81,p00421
0.88894,0.89996,2.7322e-12,2.6951,p00422
0.84967,1.1616,9.0285e-08,3.0845,p00423
0.81553,1.0027,1.6508e-11,2.3333,p00424
1.1499,0.96807,1.8807e-12,2.5399,p00425
0.83802,0.80596,1.0064e-08,1.3242,p00426
1.008,1.1604,5.9196e-10,2.2083,p00427
0.93854,0.88681,4.4366e-12,0.74006,p00428
0.83112,1.1767,1.0394e-14,2.7201,p00429
0.92948,0.82965,2.7953e-08,1.7323,p00430
0.95557,0.97775,5.3597e-05,2.5636,p00431
0.9188,0.82638,4.0223e-07,0.8006,p00432
1.0049,1.0835,1.6587e-11,1.624,p00433
1.108,1.1116,9.0702e-10,1.6733,p00434
1.1529,0.96314,6.1877e-06,2.4346,p00435
1.0059,0.83496,2.0155e-10,3.2728,p00436
1.1104,1.1019,1.077e-08,0.9472,p00437
1.1014,1.1246,5.6825e-13,1.071,p00438
0.91171,1.0545,9.6459e-13,2.9455,p00439
0.88101,1.1026,0.00023418,1.6471,p00440
1.1826,1.0751,2.3467e-12,0.55309,p00441
1.1237,0.88984,2.941e-14,3.1005,p00442
1.0706,1.0068,8.1255e-07,1.0009,p00443
1.046,0.87451,3.0391e-12,1.1239,p00444
0.83273,0.9237,1.8409e-12,2.0204,p00445
0.95502,0.83441,0.00017631,3.0849,p00446
0.92436,1.0637,2.6297e-10,0.86121,p00447
1.1157,1.1928,2.8913e-06,0.99601,p00448
0.92782,1.0433,4.5679e-06,3.0649,p00449
1.1669,1.0756,1.8972e-09,0.86064,p00450
0.83423,1.0049,6.3379e-10,0.53628,p00451
0.94098,0.86881,4.1593e-05,1.4342,p00452
1.17,1.1974,3.4905e-05,1.76,p00453
0.94501,0.98134,4.1859e-10,1.6666,p00454
1.1797,1.0108,6.1016e-07,2.971,p00455
0.88976,0.99691,7.1712e-06,2.0662,p00456
0.80006,0.80944,1.2264e-08,3.2334,p00457
1.0573,0.80529,6.3099e-06,1.4654,p00458
0.91393,1.1789,3.7045e-12,3.3486,p00459
1.027,1.0818,1.9545e-12,2.7077,p00460
0.83794,0.84506,3.2455e-08,0.85694,p00461
0.96132,0.99523,6.1679e-05,1.6333,p00462
1.0536,0.8683,6.8284e-13,1.8445,p00463
1.0312,0.99803,6.9153e-07,0.55034,p00464
1.1562,0.81929,1.6884e-12,1.5273,p00465
0.94077,1.0082,2.0285e-09,2.4119,p00466
1.1756,0.99819,4.5814e-05,2.9905,p00467
0.84571,0.82125,5.0522e-09,2.5107,p00468
0.94779,0.88477,1.3135e-05,0.61881,p00469
1.03,1.1373,3.6359e-10,1.5001,p00470
0.84474,0.86583,3.8197e-07,1.507,p00471
0.82786,0.92921,0.00016704,1.9719,p00472
0.9586,0.82803,1.9057e-07,2.489,p00473
0.90786,1.0986,2.7083e-14,0.75777,p00474
1.1386,0.8432,3.4737e-14,0.71801,p00475
0.8438,1.0054,2.8644e-08,0.63131,p00476
0.9788,0.98231,1.6218e-13,3.4456,p00477
0.87337,0.81342,3.0603e-05,2.4147,p00478
0.96861,1.1667,6.9809e-15,2.5424,p00479
0.91756,0.85565,9.7581e-05,3.0547,p00480
0.83098,0.8013,1.6179e-06,2.2002,p00481
0.80956,0.86491,1.0134e-13,3.0528,p00482
0.85894,1.0475,1.6353e-10,2.7254,p00483
0.81428,1.0948,5.5518e-09,2.5349,p00484
0.95547,1.0888,7.2364e-11,3.2977,p00485
1.1528,1.02,4.979e-05,1.5167,p00486
1.0815,1.0045,9.808e-11,1.9763,p00487
1.0443,0.9749,3.2635e-05,0.95887,p00488
0.8604,1.0366,4.8067e-11,2.6873,p00489
1.0914,1.1125,6.3699e-10,2.2301,p00490
0.98119,0.91855,1.6066e-08,1.4594,p00491
0.92834,0.88164,2.6845e-08,3.3542,p00492
1.1423,1.1971,3.6603e-10,1.6781,p00493
0.96628,0.92126,2.5858e-07,1.8161,p00494
1.0952,0.87632,6.0607e-08,2.7441,p00495
1.0906,1.1406,2.2589e-14,1.9077,p00496
0.88603,1.0538,6.7138e-15,1.9621,p00497
1.0592,0.89236,1.2334e-12,0.87507,p00498
1.129,0.92236,3.2e-14,3.2747,p00499
1.0808,1.1055,8.2246e-10,2.486,p00500
1.0187,1.0903,3.1289e-14,3.1278,p00501
1.1089,0.81778,2.1875e-14,1.3553,p00502
0.89587,0.83787,5.8105e-10,1.6959,p00503
0.87914,1.0907,4.9725e-06,1.4786,p00504
1.1305,1.0114,4.6572e-13,0.89007,p00505
0.92108,1.1756,4.5492e-12,1.0353,p00506
1.1415,0.85947,3.0742e-09,3.3428,p00507
1.0022,0.97231,6.6132e-12,1.2433,p00508
1.0318,0.91909,6.4029e-10,1.846,p00509
0.80198,1.1914,1.8329e-13,0.71172,p00510
1.1571,1.0687,3.4376e-12,3.0402,p00511
1.0873,0.94216,3.2765e-12,2.8722,p00512
1.0335,1.0554,0.00021275,1.691,p00513
1.1737,0.86448,1.2544e-08,2.1044,p00514
0.91806,1.1869,5.9565e-09,3.112,p00515
1.0355,0.9682,2.7782e-12,2.9467,p00516
1.0859,1.0534,3.3903e-08,2.4673,p00517
1.0972,1.0457,4.9032e-07,0.6148,p00518
0.85976,1.0676,2.5622e-13,2.844,p00519
1.1801,1.1285,5.0219e-09,2.2435,p00520
1.1377,1.0502,1.1781e-08,2.907,p00521
1.149,1.0824,1.8202e-05,3.2073,p00522
0.96248,1.0929,1.0193e-12,1.0344,p00523
