wind_speed,swr,a_seiche,par_id
1.0778,0.88558,0.00024072,p00092
0.87279,0.87737,0.00020018,p00093
0.99396,0.88318,0.00027823,p00094
0.81427,1.0707,0.00019746,p00095
0.88986,0.92319,0.00014139,p00096
0.81679,0.84879,0.00022504,p00097
0.90891,1.1096,0.00027446,p00098
0.97347,1.0089,0.00025533,p00099
0.88432,0.93299,0.00027232,p00100
1.1705,0.86349,0.00015122,p00101
1.1573,1.1707,0.00017257,p00102
1.1814,0.86692,0.00011152,p00103
0.89696,0.9092,8.529e-05,p00104
1.0318,1.1332,0.00029274,p00105
0.8352,0.97457,0.00015229,p00106
0.81956,0.89019,0.00012792,p00107
0.9588,0.98587,0.0001896,p00108
0.97714,1.0198,0.00029188,p00109
0.99187,1.0172,0.0002067,p00110
1.1045,1.0521,0.00026521,p00111
0.97283,1.13,0.00016887,p00112
0.82316,1.1398,0.00021609,p00113
1.1256,1.0985,0.00017598,p00114
1.0686,0.85682,0.00010086,p00115
0.8517,1.0398,0.00013562,p00116
1.0037,1.1441,0.00028847,p00117
1.0231,1.0084,0.00029967,p00118
0.92978,1.0859,0.0001768,p00119
1.0716,0.92053,0.00021376,p00120
0.88829,0.99197,0.00026582,p00121
0.89256,0.81353,0.00017455,p00122
0.82741,1.0297,0.00022788,p00123
0.86798,0.85513,0.00018934,p00124
1.1222,0.86312,0.00010321,p00125
1.0928,1.0423,0.0001141,p00126
0.86825,0.85804,8.8028e-05,p00127
0.90345,1.0899,0.00013678,p00128
0.8445,0.82225,0.00023706,p00129
0.92457,1.1975,0.00024322,p00130
1.1007,1.0055,0.00022546,p00131
1.033,1.0845,0.00019309,p00132
1.0832,1.0426,0.00022735,p00133
1.0401,0.88517,0.00017142,p00134
0.9936,0.86742,0.00017441,p00135
1.056,0.94492,0.00024701,p00136
0.99769,1.1043,0.00024365,p00137
0.99961,0.93075,0.00013183,p00138
0.81446,1.1592,0.00028637,p00139
1.1501,1.066,0.000294,p00140
1.1639,0.85632,0.00028433,p00141
0.8187,0.92088,8.1934e-05,p00142
0.81146,1.082,0.00021246,p00143
0.95902,1.1381,0.00025635,p00144
0.93653,1.1963,0.000283,p00145
1.0245,0.91426,0.00014047,p00146
1.0685,1.068,0.00029598,p00147
0.96281,1.1687,0.00016826,p00148
1.1466,1.0459,0.00018803,p00149
1.1091,1.1844,0.00014716,p00150
1.0096,1.0386,0.00021482,p00151
1.125,1.0176,0.00021414,p00152
1.1959,0.86958,0.00015012,p00153
0.99628,0.99288,0.0002865,p00154
1.1881,1.0788,0.00025614,p00155
0.93559,0.97793,0.00018011,p00156
1.199,1.148,0.00027958,p00157
1.0587,1.0057,9.8242e-05,p00158
1.0925,1.0963,0.00019683,p00159
0.97097,0.97734,0.00024897,p00160
1.1416,1.1412,0.00018005,p00161
0.98285,0.80791,0.00027812,p00162
1.1316,1.1999,0.00020421,p00163
0.91639,0.98451,0.00017286,p00164
1.0106,1.1579,0.0001233,p00165
0.81025,1.0256,0.00010638,p00166
0.91181,1.1787,0.00021924,p00167
0.83155,0.83702,0.00016893,p00168
1.0643,0.98468,0.00019062,p00169
1.0236,1.073,0.00029812,p00170
1.0029,1.1098,0.00018167,p00171
0.87783,1.1768,0.00013051,p00172
1.139,1.1324,0.00025783,p00173
1.1402,0.91596,0.00017443,p00174
1.0034,0.93091,0.00010249,p00175
0.85755,1.0935,0.00011377,p00176
1.1136,0.88023,0.00015879,p00177
1.1865,1.0835,0.00011925,p00178
1.1623,0.93346,0.00029369,p00179
0.80296,1.1894,0.00014698,p00180
1.0406,1.0988,0.00023991,p00181
0.84047,0.98903,0.00026188,p00182
0.87997,0.94363,0.00028447,p00183
1.0508,1.1013,0.00012616,p00184
1.1937,1.0905,0.00027194,p00185
0.88433,1.1054,0.00021147,p00186
1.1938,0.83676,0.00025224,p00187
1.1238,0.86074,0.00013649,p00188
1.0456,1.012,0.00029341,p00189
0.97668,1.1199,0.00025945,p00190
0.88114,0.85084,0.00029685,p00191
1.1928,0.87137,0.00022861,p00192
1.1098,1.0603,0.00020714,p00193
0.97113,1.1584,0.00015839,p00194
0.97299,1.1935,0.00012283,p00195
0.99145,1.0606,0.00020231,p00196
0.82038,0.84277,0.00025706,p00197
0.86958,0.96246,0.00026163,p00198
1.1703,0.81242,0.00022264,p00199
1.1115,0.91865,0.00027146,p00200
1.0237,0.85739,0.00018357,p00201
0.81976,0.91746,0.00028494,p00202
0.8133,1.1812,0.00019321,p00203
0.98455,1.1574,0.00018299,p00204
0.84863,0.9128,0.00025789,p00205
1.1772,0.89075,9.3665e-05,p00206
0.8769,0.89873,0.00022795,p00207
0.8661,1.0326,0.00012195,p00208
1.0142,1.084,0.00025997,p00209
0.91742,1.159,0.00024442,p00210
1.1424,1.0772,0.00026886,p00211
0.89768,1.1683,8.4276e-05,p00212
0.82167,0.84154,0.00028177,p00213
1.0478,0.88201,0.00010774,p00214
0.89253,0.90933,0.00017202,p00215
1.0993,0.92533,0.00026997,p00216
0.98043,1.0614,0.00010978,p00217
1.116,0.97758,0.00026979,p00218
0.96527,1.1461,0.00011017,p00219
0.93494,1.1362,0.00011471,p00220
1.1144,0.82797,0.00021312,p00221
1.1972,1.0262,8.0083e-05,p00222
1.0307,1.0025,0.00019996,p00223
1.0496,1.1618,0.00014028,p00224
1.0774,1.0225,0.00019417,p00225
0.84927,0.8366,0.00018714,p00226
1.1267,1.0415,0.00010395,p00227
0.93098,1.1326,0.00020808,p00228
1.0505,0.90214,0.00029689,p00229
1.0282,0.89489,0.00015978,p00230
1.0336,1.071,0.00027141,p00231
0.95847,0.84106,0.00018294,p00232
1.1369,1.0555,0.00010767,p00233
0.89575,1.0449,0.00025645,p00234
0.88305,0.80872,8.0194e-05,p00235
0.96698,0.98527,8.6076e-05,p00236
1.1819,1.1794,8.176e-05,p00237
0.80405,1.1342,0.00025352,p00238
1.0437,0.9788,0.00027265,p00239
1.0804,1.1134,0.00024614,p00240
0.87501,0.97022,0.00026197,p00241
0.91711,1.1881,0.00018702,p00242
0.97848,1.1074,0.00021914,p00243
1.145,0.82186,0.00015308,p00244
0.80347,1.0532,0.00022813,p00245
1.0155,1.0501,0.00016034,p00246
0.83027,0.80249,8.1664e-05,p00247
1.0634,1.068,0.00018752,p00248
1.1083,1.0913,0.00019663,p00249
1.1255,1.1161,0.00025012,p00250
1.1586,1.1315,0.00020169,p00251
1.0651,1.0678,0.00015376,p00252
0.80098,1.0016,0.00025324,p00253
0.94918,0.98618,0.000253,p00254
0.96997,0.89156,0.00029907,p00255
1.1764,1.1413,0.00015925,p00256
1.1334,1.1048,0.00023717,p00257
1.164,1.1679,0.00021812,p00258
1.1105,0.90653,0.00025794,p00259
1.0454,1.0383,0.00010875,p00260
1.1195,0.89146,0.00020614,p00261
0.88567,1.0158,0.00029698,p00262
1.1804,1.0716,0.00028081,p00263
1.0261,1.1257,0.00020543,p00264
0.85095,0.88162,0.00021967,p00265
1.0849,1.1869,0.00026668,p00266
0.93024,1.1169,0.00012035,p00267
1.1515,1.1183,0.0001787,p00268
0.96009,0.82433,0.00015269,p00269
1.151,1.0231,8.9989e-05,p00270
1.127,0.99209,0.00025853,p00271
1.0847,0.88142,8.2382e-05,p00272
1.1732,1.178,0.00017957,p00273
0.96674,1.1603,0.00029975,p00274
0.81132,1.0303,0.00015796,p00275
1.1406,0.90476,9.289e-05,p00276
1.1426,0.99361,0.00023262,p00277
0.93402,1.1339,0.00012267,p00278
0.95788,1.0063,0.00012986,p00279
0.80119,0.97917,0.00021128,p00280
0.93338,0.99309,0.00012675,p00281
1.1214,0.95076,0.00010169,p00282
0.87974,1.0068,0.00013397,p00283
0.96786,0.93499,0.0002646,p00284
0.89347,0.94476,0.00010742,p00285
1.0067,0.8261,9.9459e-05,p00286
1.1022,1.132,9.9182e-05,p00287
1.0076,1.1787,0.00022996,p00288
0.83728,0.82007,0.00016865,p00289
0.91072,0.96236,0.00018832,p00290
1.0717,1.0863,0.00015569,p00291
1.0166,0.87383,0.00024631,p00292
0.8691,0.82671,0.00020082,p00293
0.99489,0.84132,0.00020569,p00294
0.90177,1.0474,0.00010392,p00295
0.87949,0.97225,0.00017061,p00296
1.0981,1.1458,9.0453e-05,p00297
0.92692,1.0359,8.5518e-05,p00298
0.90925,1.0119,0.0001741,p00299
1.1568,0.87426,0.00021718,p00300
1.1997,0.93069,8.9517e-05,p00301
0.95727,1.083,0.00019137,p00302
1.0595,1.1634,0.00028361,p00303
0.88798,1.0747,0.00028063,p00304
0.84008,0.91906,0.00011692,p00305
1.1682,1.1197,8.8499e-05,p00306
0.92832,1.0328,0.00013016,p00307
1.1095,1.0603,8.6668e-05,p00308
1.0802,1.0401,0.00023115,p00309
1.0458,1.0009,0.00014772,p00310
0.99942,0.94091,0.00025044,p00311
0.83021,1.1865,0.00016108,p00312
1.0084,0.83804,0.00025699,p00313
1.0692,1.1401,0.00024117,p00314
1.1577,1.0703,0.00018891,p00315
0.91375,1.1243,0.00022086,p00316
0.93011,0.93672,0.00016924,p00317
1.1933,1.1114,9.3209e-05,p00318
0.82889,1.0548,8.3606e-05,p00319
0.87967,0.87122,9.1187e-05,p00320
1.1513,1.1739,0.00019117,p00321
1.0008,0.99055,0.00028217,p00322
0.80213,0.93706,8.5743e-05,p00323
1.1061,1.0124,0.00011841,p00324
1.1204,0.81989,0.00021674,p00325
0.95496,0.97656,0.00019393,p00326
0.91352,1.112,0.00025969,p00327
1.1611,1.1293,0.0001911,p00328
1.04,0.83063,0.00023854,p00329
1.032,0.97274,0.00021949,p00330
0.90205,0.85991,0.00012879,p00331
1.0718,1.0761,0.00027878,p00332
0.96604,1.0235,8.6696e-05,p00333
0.90621,1.0492,0.00011559,p00334
1.0754,0.84376,8.0609e-05,p00335
1.0908,1.0148,0.00026388,p00336
0.93762,1.0169,0.00029428,p00337
0.96438,1.0618,0.00018322,p00338
1.1929,0.99444,0.00010137,p00339
0.81671,0.93248,0.00016832,p00340
1.0429,0.93059,0.00021396,p00341
0.82944,0.90004,0.00021754,p00342
1.1902,0.98531,0.00025314,p00343
0.93226,1.1341,0.00017542,p00344
1.1069,1.1985,0.00027173,p00345
0.82475,1.1358,0.00029532,p00346
0.80705,0.83439,0.00018075,p00347
0.91544,0.87681,0.00010207,p00348
0.95502,0.91811,0.00021984,p00349
0.98546,1.0477,0.0001824,p00350
0.8612,0.94109,0.00026335,p00351
1.0175,0.90646,0.00016911,p00352
0.93191,1.0329,0.00012868,p00353
1.0672,1.0886,0.00022336,p00354
0.99576,0.95357,0.00014756,p00355
1.1774,1.1574,0.00012311,p00356
1.1993,1.1332,0.00029214,p00357
0.96256,1.1117,0.00023735,p00358
0.93501,1.0012,0.00020446,p00359
0.82311,1.0691,0.00016741,p00360
0.95313,0.89105,8.7384e-05,p00361
0.99448,1.0322,0.0002669,p00362
0.86588,0.92379,0.00018279,p00363
1.0661,0.88481,0.00017214,p00364
0.92756,1.1019,0.0002206,p00365
0.98796,1.134,0.00027841,p00366
1.1296,0.89973,0.00012597,p00367
0.92029,1.1152,0.00014789,p00368
1.063,1.0374,0.00023642,p00369
0.97788,1.1903,0.00017346,p00370
0.83537,0.93143,0.00012922,p00371
1.1979,0.91396,0.00016005,p00372
0.80985,0.94499,0.00022277,p00373
1.0569,0.98736,0.00016283,p00374
1.0485,0.97232,0.0002662,p00375
1.1152,0.936,0.00011941,p00376
0.9835,1.08,0.00020723,p00377
1.074,1.0752,0.00027714,p00378
1.0637,0.9503,0.00015764,p00379
1.0943,1.0107,0.00017845,p00380
0.99727,0.86942,0.00015486,p00381
0.89279,1.1675,9.2488e-05,p00382
1.1973,1.0822,0.00010293,p00383
1.0418,1.0379,0.00011454,p00384
1.0474,1.057,0.00014333,p00385
1.0689,1.0236,0.00014666,p00386
1.1215,1.1263,0.00010104,p00387
0.87532,1.1575,0.00010621,p00388
0.89601,1.1608,0.00014482,p00389
0.96536,1.0352,0.00012488,p00390
0.86437,0.84438,0.0002996,p00391
1.0074,0.89577,8.412e-05,p00392
1.0028,1.0992,0.00028822,p00393
0.83174,1.1305,0.00027439,p00394
0.99747,0.83752,0.00029156,p00395
0.92366,1.1595,0.0002788,p00396
1.063,1.0183,0.00027965,p00397
0.95949,0.84319,0.00018915,p00398
1.1366,1.0705,0.0001776,p00399
1.108,1.1511,0.0001446,p00400
0.99481,1.0404,0.0002242,p00401
0.81774,1.0765,0.00014947,p00402
0.89816,1.0957,0.00011094,p00403
0.94181,0.98476,0.00028574,p00404
0.813,0.82375,0.000156,p00405
0.86141,0.943,0.00010255,p00406
1.0568,0.99504,0.0001498,p00407
1.0859,1.1109,0.00010185,p00408
0.90748,1.113,0.00029868,p00409
0.98564,1.187,0.00019773,p00410
0.89614,0.88755,0.00025503,p00411
1.0397,1.1799,0.00028262,p00412
0.98931,0.81411,0.00010438,p00413
0.94783,0.97931,0.00025414,p00414
1.1809,0.88776,0.00018939,p00415
1.0865,0.98045,0.00023636,p00416
1.089,0.86896,0.0001047,p00417
0.85053,1.1877,0.0001279,p00418
1.1615,1.0458,9.4403e-05,p00419
0.87051,1.0232,0.0002485,p00420
1.1917,0.80758,0.00021595,p00421
0.95072,0.91192,0.00020311,p00422
1.0211,1.0011,0.0002748,p00423
0.81705,0.88992,0.00029767,p00424
1.0871,1.1457,0.0002204,p00425
0.82436,0.82969,9.1414e-05,p00426
1.0804,1.1131,0.00014648,p00427
1.0929,0.86715,0.00011605,p00428
1.1618,1.0639,0.00019775,p00429
1.0821,0.9531,9.8027e-05,p00430
1.1645,1.081,0.00010968,p00431
1.1999,0.87266,0.00022515,p00432
0.99686,0.87693,0.00022068,p00433
0.81069,0.99613,0.00012381,p00434
0.94677,0.98223,0.00014164,p00435
1.0036,0.97988,0.0001897,p00436
0.99614,0.98546,0.0001381,p00437
0.87517,1.1261,0.00017931,p00438
1.0164,1.1343,0.00026067,p00439
1.0946,0.82041,0.00025473,p00440
1.1594,0.81648,0.00029457,p00441
1.0956,1.1405,0.00014495,p00442
1.0665,0.86374,0.00014886,p00443
1.1209,0.91618,0.00011689,p00444
0.80338,1.1493,0.00018341,p00445
0.98366,1.1196,0.00016719,p00446
1.118,0.80818,0.00026446,p00447
1.0835,0.94763,0.00019858,p00448
0.86774,1.0576,0.00028184,p00449
0.91962,0.86972,0.00020622,p00450
1.0134,1.192,0.00029081,p00451
0.86392,0.96874,0.00014442,p00452
0.96204,0.90037,0.0002075,p00453
1.0905,0.98276,0.00028318,p00454
1.1756,1.1849,0.00011327,p00455
0.80969,0.82258,0.00013952,p00456
0.85996,0.83003,0.00019979,p00457
1.1835,1.1721,0.00020191,p00458
1.094,1.0272,0.00024408,p00459
0.87333,0.92077,0.00022152,p00460
1.0501,0.96289,0.00027908,p00461
1.1107,0.98907,0.00022213,p00462
0.97378,1.1295,0.00023684,p00463
1.1266,0.91836,0.00014466,p00464
1.1025,1.0758,0.0001597,p00465
1.1742,1.1648,0.00027793,p00466
1.1459,1.0673,8.4837e-05,p00467
1.0536,0.96268,9.0188e-05,p00468
1.0577,0.88892,0.0002657,p00469
0.87476,0.91646,0.00019465,p00470
1.1117,0.85195,0.00010716,p00471
1.178,0.85531,0.0002605,p00472
0.89474,0.99319,8.3836e-05,p00473
0.8487,0.94392,0.00020902,p00474
1.0203,0.82233,0.0001394,p00475
0.84822,1.1964,8.9295e-05,p00476
1.1073,0.96467,0.00011855,p00477
1.1273,0.87874,0.00025309,p00478
0.86009,1.0172,0.0002973,p00479
0.87944,1.0873,0.00017005,p00480
0.96162,1.0148,0.00029174,p00481
0.96482,1.1541,0.00010492,p00482
0.97868,1.161,0.00010149,p00483
0.84296,0.87221,8.0003e-05,p00484
0.90186,1.0114,8.2319e-05,p00485
0.8609,0.99692,0.00011403,p00486
1.1656,1.088,0.00010273,p00487
1.0336,1.0946,0.00028862,p00488
0.89837,1.0496,0.00021108,p00489
0.81599,0.89274,0.00021771,p00490
1.0254,0.97911,0.00026603,p00491
0.9026,1.1095,0.00020337,p00492
0.92116,0.90743,0.0002525,p00493
1.052,0.95129,9.1994e-05,p00494
1.0001,1.1876,0.00027736,p00495
1.1263,0.99916,8.689e-05,p00496
0.83555,0.89923,9.3634e-05,p00497
0.9812,0.9597,0.00015868,p00498
1.1804,0.9114,0.00012515,p00499
1.1185,0.8071,0.00026262,p00500
0.97221,1.1616,0.00011221,p00501
0.90939,0.99187,0.00010818,p00502
1.032,1.1729,0.00026957,p00503
1.1771,0.892,0.00023059,p00504
1.1461,0.92701,0.00021164,p00505
1.0451,0.87773,0.00019254,p00506
0.84946,0.92742,0.00016339,p00507
0.96234,0.98283,0.00015032,p00508
1.1403,1.063,0.0001759,p00509
0.82288,0.97588,0.0001482,p00510
1.1609,1.1857,0.00016786,p00511
0.93742,1.1893,0.00011031,p00512
1.0674,1.0722,0.00018911,p00513
1.0187,1.1193,0.00018495,p00514
1.0596,0.99852,0.00026345,p00515
1.0825,0.88048,0.00021833,p00516
0.99278,1.1854,0.00018021,p00517
1.1833,0.82531,0.00016072,p00518
0.90473,0.8131,0.00020844,p00519
1.013,1.0785,0.00012594,p00520
1.0248,1.1874,0.00016599,p00521
1.0052,0.82397,0.00021092,p00522
0.92274,0.8114,0.00028503,p00523
0.86647,1.0097,0.00027252,p00524
0.94725,0.81883,8.236e-05,p00525
1.1279,0.97396,0.00025719,p00526
1.1268,0.8897,8.1393e-05,p00527
0.84174,0.99928,0.00014416,p00528
1.0623,0.87958,0.00011877,p00529
0.93125,0.82009,0.00014678,p00530
0.97515,1.0502,0.00016014,p00531
0.80154,1.0766,0.00026758,p00532
1.1694,0.82119,0.00028279,p00533
0.94585,0.92968,0.00027637,p00534
1.0574,0.95509,0.00027343,p00535
1.1878,0.91858,0.00027167,p00536
0.83873,0.97857,0.00029876,p00537
0.86707,1.0095,0.00019544,p00538
1.0725,0.9364,0.00013542,p00539
1.0641,0.91524,0.00013169,p00540
0.95557,0.87446,0.00029232,p00541
1.1984,0.81497,0.00019925,p00542
1.0715,0.82032,0.00018535,p00543
1.1332,1.1992,0.00010894,p00544
0.81537,0.97285,0.00029469,p00545
0.83533,1.0876,0.00022378,p00546
0.9694,0.8005,0.00025053,p00547
1.1191,1.1317,0.00010725,p00548
1.0076,0.81608,0.00019234,p00549
0.80769,1.1424,0.0001551,p00550
1.0334,0.84615,0.00016078,p00551
1.0964,0.95546,0.0001314,p00552
1.1664,0.9376,9.5256e-05,p00553
0.96308,0.83182,0.00014578,p00554
1.0744,1.1695,0.00026544,p00555
1.1036,1.0703,0.00026939,p00556
0.9156,1.1157,0.00012119,p00557
0.82256,1.1374,0.0002482,p00558
0.87727,0.88654,0.00014641,p00559
0.87008,1.0865,0.00028303,p00560
0.8668,0.84737,0.00026827,p00561
1.1006,1.0492,0.00016514,p00562
0.93249,1.021,0.00022226,p00563
0.81843,0.82591,0.00022209,p00564
1.0283,1.1804,0.00027629,p00565
1.015,0.82602,9.7267e-05,p00566
0.84779,0.92173,0.00027155,p00567
1.0492,1.0353,0.00027805,p00568
1.0556,0.96281,0.00016172,p00569
1.0616,0.83488,0.00020937,p00570
0.83616,1.0008,0.00016337,p00571
0.84654,1.0909,0.00022269,p00572
0.90286,0.96025,0.00024059,p00573
1.0919,0.97133,0.00017327,p00574
1.0229,0.91656,0.00027523,p00575
0.97686,1.1126,0.00011977,p00576
0.84548,1.0911,0.00021601,p00577
1.0533,0.84787,0.00016625,p00578
0.98344,0.90915,0.0001014,p00579
1.0321,0.84428,0.00026097,p00580
1.0995,1.1471,0.00016461,p00581
1.0253,1.0947,0.00016733,p00582
1.0273,1.1353,0.00023712,p00583
1.1115,1.1347,0.00029125,p00584
0.85436,0.94675,0.00017906,p00585
1.1695,1.0248,0.00013253,p00586
1.0049,0.83757,0.00019177,p00587
0.8664,1.1232,0.00026561,p00588
0.90335,0.98749,0.00010729,p00589
1.1374,0.80894,0.00027077,p00590
0.83396,1.1023,0.00015027,p00591
0.90794,1.0497,0.0001537,p00592
1.0625,0.81832,8.6549e-05,p00593
1.1529,0.84249,0.00026721,p00594
1.0003,1.0606,8.3255e-05,p00595
0.80006,0.91979,0.0001921,p00596
0.80094,0.98863,0.00021354,p00597
1.097,1.1492,0.00015862,p00598
1.0755,0.96497,0.00025347,p00599
1.0484,1.033,0.0002778,p00600
0.92292,0.88276,0.0002932,p00601
1.1506,0.88923,0.0002427,p00602
0.84022,0.83458,0.00028681,p00603
1.1861,1.1802,0.00010042,p00604
1.0154,0.98083,0.00011966,p00605
1.0647,0.85275,0.000201,p00606
1.1486,1.122,0.00024478,p00607
1.039,1.0455,0.00013322,p00608
0.96836,0.93767,0.00016353,p00609
1.0863,0.83939,0.00024392,p00610
0.89062,1.0693,0.00028497,p00611
1.1247,1.0857,0.00013836,p00612
0.93605,1.0872,0.00012971,p00613
0.99994,1.1476,0.00021352,p00614
0.85899,0.91095,0.000122,p00615
1.1217,0.92414,0.00014871,p00616
0.85664,1.1226,0.00018402,p00617
1.1779,1.1706,9.4516e-05,p00618
0.83672,0.95689,0.00015473,p00619
0.92354,0.83109,0.00014062,p00620
0.95234,1.1097,0.0001235,p00621
1.0796,1.1107,0.00018607,p00622
1.0952,1.0499,0.00022065,p00623
0.93459,1.1074,0.00022025,p00624
1.087,1.0504,0.00020011,p00625
1.0282,1.0842,0.00019754,p00626
1.1482,1.0254,0.0001342,p00627
1.1024,0.96076,0.00020343,p00628
1.0539,0.86122,0.00025932,p00629
1.1005,1.0385,0.00016156,p00630
0.90883,0.95865,0.00014415,p00631
0.86354,0.90568,0.00016464,p00632
0.94119,0.88988,0.00024856,p00633
0.96087,0.85874,0.00028194,p00634
0.85014,0.87886,0.00013991,p00635
0.84744,0.97684,0.00015199,p00636
1.1327,0.92929,0.00029956,p00637
1.1731,0.92048,0.00014543,p00638
1.0791,1.0054,0.00025504,p00639
0.84958,1.0378,0.00019071,p00640
1.1738,1.0794,0.0001324,p00641
1.0112,0.89052,0.000259,p00642
0.82504,1.109,0.00012406,p00643
1.0618,1.1751,0.00027211,p00644
1.1149,1.1528,0.00016234,p00645
1.0625,1.078,0.00028466,p00646
0.85405,0.89511,0.00022782,p00647
0.85943,0.82283,0.00026871,p00648
0.86543,1.0831,0.00026916,p00649
0.87078,1.0084,0.00027815,p00650
1.1785,0.86533,0.00011049,p00651
0.86308,0.82686,0.00023775,p00652
1.0998,1.1626,0.00012314,p00653
0.82414,0.86642,0.00020227,p00654
1.0473,0.97563,0.00011582,p00655
1.1727,0.91365,0.00020376,p00656
0.86037,1.0756,0.00020642,p00657
1.0867,0.93919,0.00013199,p00658
0.88169,0.89337,0.00027371,p00659
1.1456,0.87906,0.00018689,p00660
0.95257,1.0967,0.00026612,p00661
0.95425,0.98767,0.00023876,p00662
0.98771,1.0666,0.00018589,p00663
0.89105,0.80485,0.00022635,p00664
1.0678,0.9389,0.0001626,p00665
0.93541,1.0053,0.00021891,p00666
1.1078,1.1481,0.00011815,p00667
0.93289,1.0771,0.00026965,p00668
1.1791,1.1055,0.00028484,p00669
0.83848,0.83842,0.00027087,p00670
1.1225,1.0881,0.00026776,p00671
0.8178,1.1652,0.00020415,p00672
1.192,1.0962,0.0001944,p00673
1.1017,1.1168,0.00018212,p00674
0.91187,1.1381,0.00026357,p00675
1.1102,1.1399,0.00027696,p00676
0.98472,1.0924,0.00022305,p00677
1.0665,1.0345,0.00023469,p00678
0.88536,1.1764,0.00010584,p00679
0.94751,0.86279,0.00017475,p00680
1.0489,1.1825,0.00025291,p00681
0.87893,0.98665,0.00029325,p00682
1.1962,0.92192,0.00022207,p00683
0.8738,0.92759,0.00029097,p00684
0.87413,0.98408,0.0002332,p00685
1.1669,1.0457,0.00023033,p00686
1.0269,0.88097,0.00021298,p00687
0.80061,1.0894,0.0001609,p00688
1.1939,0.84556,0.00020513,p00689
0.81688,1.1567,0.00019275,p00690
0.97067,1.1269,0.00024289,p00691
1.1196,1.0516,0.0002072,p00692
0.80121,0.9656,0.00023949,p00693
1.1683,0.87856,0.00011889,p00694
1.0354,0.95931,0.00012396,p00695
0.90598,1.1368,0.00019404,p00696
